"","X","app_rate_g_cm2","application","body_weight_g","chemical","exp_duration","formulation","soil_conc_ugg","soil_type","species","tissue_conc_ugg","tim_direct_avian_1hr_perez","tim_direct_avian_1hr_perez_ratios","tim_direct_avian_1hr","tim_direct_avian_1hr_ratios","tim_direct_amphib_1hr"
"111",286,2.31e-05,"Overspray",2.22041,"Total Atrazine",8,0,19.12810511,"PLE","Green treefrog",23.44129789,529.321304681675,22.5807166124314,88.5563559204555,3.77779235330794,37.3470423370823
"112",287,2.31e-05,"Overspray",3.35473,"Total Atrazine",8,0,19.12810511,"PLE","Green treefrog",20.56163305,441.246643545554,21.4597081113435,77.1859071346335,3.75388019749888,31.3908259181089
"113",288,2.31e-05,"Overspray",2.00039,"Total Atrazine",8,0,19.12810511,"PLE","Green treefrog",19.95404302,554.248890835302,27.7762702165058,91.6876406728032,4.59494051310326,39.0243162414593
"114",289,2.31e-05,"Overspray",2.82206,"Total Atrazine",8,0,19.12810511,"PLE","Green treefrog",19.44679486,476.208004462511,24.4877373310509,81.7604786493187,4.20431640473009,33.761069202757
"115",290,2.31e-05,"Overspray",3.13181,"Total Atrazine",8,0,19.12810511,"PLE","Green treefrog",18.88325569,454.831599779751,24.0865032622852,78.973632395376,4.18220426031715,32.3128090617167
"116",291,1.06e-06,"Overspray",1.30684,"Total Fipronil",8,0,3.951751488,"PLE","Green treefrog",2.729720739,30.6857118741559,11.2413374143896,4.84812494747345,1.77605162250022,2.14224346892021
"117",292,1.06e-06,"Overspray",2.6593,"Total Fipronil",8,0,3.951751488,"PLE","Green treefrog",3.730847831,22.4319947965632,6.01257296268517,3.82673463865106,1.0257010770727,1.58844220736774
"118",293,1.06e-06,"Overspray",1.88382,"Total Fipronil",8,0,3.951751488,"PLE","Green treefrog",1.778989061,26.1154740002605,14.6799519866528,4.29227707014769,2.41276192431162,1.83656742508633
"119",294,1.06e-06,"Overspray",1.07051,"Total Fipronil",8,0,3.951751488,"PLE","Green treefrog",1.159865558,33.5074037197992,28.8890410519451,5.18110217535911,4.46698510842333,2.32991871118487
"120",295,1.06e-06,"Overspray",1.77007,"Total Fipronil",8,0,3.951751488,"PLE","Green treefrog",1.097300859,26.842718993586,24.4624970202324,4.38222883901332,3.99364386081586,1.88536087333537
"121",296,2.79e-06,"Overspray",1.53205,"Total Triadimefon",8,0,8.090520249,"PLE","Green treefrog",1.511168861,75.2979688755102,49.8276339718134,12.1025899426985,8.00876080432849,5.27347506053293
"122",297,2.79e-06,"Overspray",1.72177,"Total Triadimefon",8,0,8.090520249,"PLE","Green treefrog",3.099302175,71.5193555578917,23.0759543663701,11.6411125238925,3.75604309182679,5.02054970893814
"123",298,2.79e-06,"Overspray",1.38441,"Total Triadimefon",8,0,8.090520249,"PLE","Green treefrog",1.440452008,78.739179107418,54.6628271335076,12.517945410172,8.69028981226012,5.50331476867134
"124",299,2.79e-06,"Overspray",3.21721,"Total Triadimefon",8,0,8.090520249,"PLE","Green treefrog",1.363591664,54.2862956859476,39.8112551720231,9.45330269198843,6.93264922451772,3.85876181530827
"125",300,2.79e-06,"Overspray",1.0386,"Total Triadimefon",8,0,8.090520249,"PLE","Green treefrog",1.152513756,89.378882275954,77.5512498750202,13.7751684275393,11.95228113836,6.21115063272409
"126",336,5.76e-06,"Soil",1.46095,"Imidacloprid",8,0,2.032637766,"PLE","Green treefrog",0.128323626,158.745973048668,1237.07518246615,25.3845176395624,197.816399293162,11.1071746423708
"127",337,5.76e-06,"Soil",1.29982,"Imidacloprid",8,0,2.032637766,"PLE","Green treefrog",0.160232247,167.141544093493,1043.12051551953,26.3918222249476,164.709805417305,11.6672969238284
