app_rate_g_cm2,application,body_weight_g,chemical,exp_duration,formulation,sample_id,soil_conc_ugg,soil_type,source,species,tissue_conc_ugg
1.05E-06,soil,2.788,fipronil,8,0,SF4,4.53176306,PLE,rvm2015,Mole salamander,0.472718534
1.05E-06,soil,1.75764,fipronil,8,0,SF5,4.53176306,PLE,rvm2015,Mole salamander,0.466888045
2.87E-06,soil,2.42958,triadimefon,8,0,ST1,6.136541259,PLE,rvm2015,Mole salamander,1.119874054
2.87E-06,soil,2.33583,triadimefon,8,0,ST2,6.136541259,PLE,rvm2015,Mole salamander,0.506757885
2.87E-06,soil,1.92159,triadimefon,8,0,ST3,6.136541259,PLE,rvm2015,Mole salamander,0.23751407
2.87E-06,soil,2.46557,triadimefon,8,0,ST4,6.136541259,PLE,rvm2015,Mole salamander,0.499320716
2.87E-06,soil,2.68042,triadimefon,8,0,ST5,6.136541259,PLE,rvm2015,Mole salamander,0.322065257
5.65E-06,soil,0.95183,imidacloprid,8,0,NTI1,2.024466739,PLE,rvm2015,Narrowmouth toad,0.294998693
5.65E-06,soil,0.92942,imidacloprid,8,0,NTI2,2.024466739,PLE,rvm2015,Narrowmouth toad,0.395986198
5.65E-06,soil,0.9349,imidacloprid,8,0,NTI3,2.024466739,PLE,rvm2015,Narrowmouth toad,0.214460025
5.65E-06,soil,0.85968,imidacloprid,8,0,NTI4,2.024466739,PLE,rvm2015,Narrowmouth toad,0.319810784
5.65E-06,soil,1.24292,imidacloprid,8,0,NTI5,2.024466739,PLE,rvm2015,Narrowmouth toad,0.49063891
2.72E-06,soil,1.09861,triadimefon,8,0,NTT1,6.241574746,PLE,rvm2015,Narrowmouth toad,0.479349927
2.72E-06,soil,0.8174,triadimefon,8,0,NTT2,6.241574746,PLE,rvm2015,Narrowmouth toad,0.318840389
2.72E-06,soil,0.81689,triadimefon,8,0,NTT3,6.241574746,PLE,rvm2015,Narrowmouth toad,0.459769244
2.72E-06,soil,0.79306,triadimefon,8,0,NTT4,6.241574746,PLE,rvm2015,Narrowmouth toad,0.447331937
2.72E-06,soil,0.79105,triadimefon,8,0,NTT5,6.241574746,PLE,rvm2015,Narrowmouth toad,0.379035618
2.29E-05,indirect,13.1831,atrazine,8,0,2_1_A,22.87721442,PLE,rvm2016,American toad,0.337135483
2.29E-05,indirect,15.8694,atrazine,8,0,2_1_H,39.57404439,PLE,rvm2016,American toad,1.227227091
2.29E-05,indirect,8.3884,atrazine,8,0,2_3_C,19.10798205,PLE,rvm2016,American toad,0.700940082
2.29E-05,indirect,14.5384,atrazine,8,0,2_5_C,16.62668626,PLE,rvm2016,American toad,0.367019464
2.29E-05,indirect,16.4296,atrazine,8,0,2_6_F,28.51661365,PLE,rvm2016,American toad,0.35231843
2.29E-05,indirect,16.59,atrazine,8,0,2_7_B,33.99919952,PLE,rvm2016,American toad,0.818657056
2.29E-05,indirect,9.5568,atrazine,8,0,2_1_B,29.78251321,OLS,rvm2016,American toad,0.565666776
2.29E-05,indirect,12.3541,atrazine,8,0,2_2_F,17.87349815,OLS,rvm2016,American toad,2.185564918
2.29E-05,indirect,11.1447,atrazine,8,0,2_2_I,16.59253376,OLS,rvm2016,American toad,1.460641759
2.29E-05,indirect,11.9615,atrazine,8,0,2_4_B,12.29392621,OLS,rvm2016,American toad,0.521202693
2.29E-05,indirect,17.3882,atrazine,8,0,2_5_H,21.6577354,OLS,rvm2016,American toad,0.525601376
2.29E-05,indirect,11.7687,atrazine,8,0,2_7_E,29.25664048,OLS,rvm2016,American toad,6.443801458
2.29E-05,indirect,10.5239,atrazine,8,1,2_1_D,23.57654351,PLE,rvm2016,American toad,0.867924815
2.29E-05,indirect,14.6051,atrazine,8,1,2_1_F,23.85857164,PLE,rvm2016,American toad,0.560925254
2.29E-05,indirect,16.9753,atrazine,8,1,2_2_D,21.82224207,PLE,rvm2016,American toad,0.572604017
2.29E-05,indirect,12.6029,atrazine,8,1,2_5_D,22.10602964,PLE,rvm2016,American toad,0.357537561
2.29E-05,indirect,11.4693,atrazine,8,1,2_6_B,18.47118347,PLE,rvm2016,American toad,0.525853638
2.29E-05,indirect,11.7396,atrazine,8,1,2_6_F,8.640551756,PLE,rvm2016,American toad,1.29826811
2.29E-05,indirect,11.0822,atrazine,8,1,2_1_E,14.25437079,OLS,rvm2016,American toad,1.138952601
2.29E-05,indirect,10.069,atrazine,8,1,2_2_G,19.5060604,OLS,rvm2016,American toad,2.05354599
2.29E-05,indirect,11.0174,atrazine,8,1,2_4_I,18.1116732,OLS,rvm2016,American toad,0.463586698
2.29E-05,indirect,12.3638,atrazine,8,1,2_5_A,18.50933254,OLS,rvm2016,American toad,0.398005502
2.29E-05,indirect,10.1878,atrazine,8,1,2_5_G,7.936778913,OLS,rvm2016,American toad,0.428099849
2.29E-05,indirect,11.5272,atrazine,8,1,2_7_D,16.94936678,OLS,rvm2016,American toad,0.478180697
5.70E-06,indirect,13.986,imidacloprid,8,0,2_1_I,0.970934893,PLE,rvm2016,American toad,0.018120187
5.70E-06,indirect,18.1095,imidacloprid,8,0,2_2_B,1.646094454,PLE,rvm2016,American toad,0.050150934
5.70E-06,indirect,8,imidacloprid,8,0,2_5_I,1.347997271,PLE,rvm2016,American toad,0.062813074
5.70E-06,indirect,13.1817,imidacloprid,8,0,2_6_C,0.205311904,PLE,rvm2016,American toad,0.015920471
5.70E-06,indirect,12.9241,imidacloprid,8,0,2_6_E,2.997491181,PLE,rvm2016,American toad,0.074721574
5.70E-06,indirect,13.0377,imidacloprid,8,0,2_7_I,0.785382305,PLE,rvm2016,American toad,0.019896995
5.70E-06,indirect,10.7167,imidacloprid,8,0,2_2_A,1.293386968,OLS,rvm2016,American toad,0.022283481
5.70E-06,indirect,13.3005,imidacloprid,8,0,2_2_C,0.727272814,OLS,rvm2016,American toad,0.06442277
